HBSC_id,Short_name,Survey_years_available,Age_groups_available,Measure_type,Measure_description,Chart_title_gender,Significance_text_gender,Notes_2014_gender,Notes_2018_gender,Notes_2022_gender,Chart_title_FAS,Significance_text_FAS,Notes_2014_FAS,Notes_18_FAS,Notes_22_FAS
toofat,BODY IMAGE,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked about how they perceive their bodies. Response options ranged from much too thin to much too fat. Findings presented here show the proportions who reported perceiving their body to be too fat, defined as being a bit or much too fat. ",who think they are too fat,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented. No data were received for Iceland (11- and 13-year olds),Significance of gender differences is not presented. Mo data were received from Morth Macedonia and Norway.,No data were receieved from Norway and Scotland.,Prevalence by family affluence: feeling too fat by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,No data were received for Iceland (11- and 13-year olds),Mo data were received from Morth Macedonia and Norway.,No data were receieved from Norway and Scotland.
VPA,VIGOROUS PHYSICAL ACTIVITY,2022,"11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked to report the number of times per week they usually exercised in their free time (outside school hours), so much so that they got out of breath or sweated. Findings presented here show the proportions who participated in vigorous physical activity (VPA) three or more times per week. ",who report vigorous physical activity three or more times per week,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,,No data were received from Poland (11-year-old Girls),Prevalence by family affluence: VPA by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,No data were received from Poland (11-year-old Girls)
break_wd,DAILY BREAKFAST CONSUMPTION ON WEEKDAYS,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how often they eat breakfast, defined as more than a glass of milk or fruit juice, on weekdays and at weekends. Findings presented here show the proportions reporting eating breakfast daily on weekdays.",who report eating breakfast daily on weekdays,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented,Significance of gender differences is not presented,No data were received from Tajikistan.,Prevalence by family affluence: daily breakfast consumption on weekdays by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,No data were received from Tajikistan.
fruit_dly,FRUIT CONSUMPTION,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how often they eat fruit. Response options ranged from never to every day, more than once. Findings presented here show the proportions who reported eating fruit daily (at least once). ",who report eating fruit daily,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented,Significance of gender differences is not presented,Note: no data were received from Belgium (French).,Prevalence by family affluence: eating fruit daily by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,No data were received from Belgium (French).
veget_dly,DAILY VEGETABLE CONSUMPTION,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how often they eat vegetables. Response options ranged from never to every day, more than once. Findings presented here show the proportions who reported eating vegetables daily (at least once). ",who report eating vegetables daily,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented,Significance of gender differences is not presented,Note: no data were received from Belgium (French).,Prevalence by family affluence: eating vegetables daily by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,No data were received from Belgium (French).
sweets_dly,DAILY SWEETS AND CHOCOLATE CONSUMPTION,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how often they eat sweets (including chocolate). Response options ranged from never to every day, more than once. Findings presented here show the proportions who reported eating sweets daily (at least once). ",who report eating sweets (including chocolate) daily,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented,Significance of gender differences is not presented,Note: no data were received from Belgium (French).,Prevalence by family affluence: eating sweets (including chocolate) daily by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,No data were received from Belgium (French).
drink_dly,DAILY CONSUMPTION OF SUGARY SOFT-DRINKS ,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked to report their usual frequency of sugary soft-drinks consumption, with response categories ranging from never to more than once a day. Findings presented here show the proportions who reported drinking sugary soft drinks daily (at least once). ",who report drinking sugary soft drinks daily,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented,Significance of gender differences is not presented,Note: no data were received from Belgium (French).,Prevalence by family affluence: drinking sugary soft drinks daily by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,No data were received from Belgium (French).
oweight_who,OVERWEIGHT AND OBESITY,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked to give their height (without shoes) and weight (without clothes). Body mass index (BMI) was calculated from this information and cut-offs for overweight and obesity allocated based on the WHO growth reference for age. Findings presented here show the proportions who were overweight or obese.,who are overweight or obese (based on WHO growth reference),Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,"Significance of gender differences is not presented.  Country/region and age-group samples missing more than 50% of BMI data have been removed, including England (11- and 13-year olds), Greenland (11- and 13-year-old girls). Ireland, Malta (11-year-olds),  Romania (11-year-old girls), Scotland and Wales (11 & 13-year-olds).","Significance of gender differences is not presented.  Note: no data were received from England (11- and 13-year-olds).  Country/region and age-group samples missing more than 50% of BMI data have been removed, including England (15-year-olds), Greenland 11- and 13-yearolds and 15-year-old boys), Ireland, Scotland and Wales.","Note: no data were received from Scotland and England (11- and 13-year-olds). Country/region and age-group samples missing more than 50% of BMI data have been removed, including England (15-year-old girls), Greenland, Ireland, Norway (11-year-old girls), Romania, and Wales.  ",Prevalence by family affluence: overweight or obese (based on WHO growth reference) by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.," Country/region and gender samples missing more than 50% of BMI data have been removed, including England (Girls), Ireland,  Scotland and Wales.","Note: no data were received from England (11- and 13-year-olds). Country/region and gender samples missing more than 50% of BMI data have been removed, including England (15-year-olds), Greenland , Ireland, Scotland and Wales.","No data were received from Scotland and England) (11- and 13-year-olds). Country/region and gender samples missing more than 50% of BMI data have been removed, including England, Greenland, Ireland,  Romania, and Wales.  "
thin_who,UNDERWEIGHT,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked to give their height (without shoes) and weight (without clothes).  Body mass index (BMI) was calculated from this information and cut-offs for underweight applied based on the WHO growth reference for age. Findings presented here show the proportions who were underweight.,who are underweight (based on WHO growth reference) ,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,"Significance of gender differences is not presented.  Country/region and age-group samples missing more than 50% of BMI data have been removed, including England (11- and 13-year olds), Greenland (11- and 13-year-old girls). Ireland, Malta (11-year-olds),  Romania (11-year-old girls), Scotland and Wales (11 & 13-year-olds).","Significance of gender differences is not presented.  Note: no data were received from England (11- and 13-year-olds).  Country/region and age-group samples missing more than 50% of BMI data have been removed, including England (15-year-olds), Greenland 11- and 13-yearolds and 15-year-old boys), Ireland, Scotland and Wales.","Note: no data were received from Scotland and England) (11- and 13-year-olds). Country/region and age-group samples missing more than 50% of BMI data have been removed, including England (15-year-old girls), Greenland, Ireland, Norway (11-year-old girls), Romania, and Wales.  ",Prevalence by family affluence: underweight (based on WHO growth reference) by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.," Country/region and gender samples missing more than 50% of BMI data have been removed, including England (Girls), Ireland,  Scotland and Wales.","Note: no data were received from England (11- and 13-year-olds).  Country/region and gender samples missing more than 50% of BMI data have been removed, including England (15-year-olds), Greenland , Ireland, Scotland and Wales.","No data were received from Scotland and England) (11- and 13-year-olds). Country/region and gender samples missing more than 50% of BMI data have been removed, including England, Greenland, Ireland,  Romania, and Wales.  "
,,,,,,,,,,,,,,,
d_sex,SEXUAL INTERCOURSE,"2014
2018
2022",15-year-olds,PERCENT,"15-year-olds only were asked whether they had ever had sexual intercourse. The question was presented using colloquial terminology (such as ""having sex"") to ensure respondents understood it was about full penetrative sex. Findings presented here show the proportions who responded yes to having had sexual intercourse.",who have had sexual intercourse,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented. No data were received from Greenland and Norway,Significance of gender differences is not presented. No data were received from Azerbaijan and Norway,No data were received from Norway and Tajikistan.,Prevalence by family affluence: 15-year-olds who have had sexual intercourse by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,Data are not presented for girls in Armenia as numbers reporting were too low for a reliable estimate of prevalence.  No data were received from Norway and Tajikistan.
d_condom,CONDOM USE AT LAST SEXUAL INTERCOURSE,"2014
2018
2022",15-year-olds,PERCENT,15-year-olds who have had sex were asked whether they or their partners had used a condom at their last sexual intercourse. Findings presented here show the proportions who responded yes to this question. ,who had used a condom at last sexual intercourse,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented. Data are not presented for girls in Armenia as numbers reporting  were too low for a reliable estimate of prevalence.  No data were received from Greenland or Norway. ,"Significance of gender differences is not presented. Data are not presented for girls in Armenia, Georgia  and Kazakhstan as numbers reporting  were too low for a reliable estimate of prevalence.  No data were received from Azerbaijan, Norway and Switzerland. ",Data are not presented for girls in Armenia or Kazakhstan as numbers reporting  were too low for a reliable estimate of prevalence. No data were received from Norway and Tajikistan. ,Prevalence by family affluence: 15-year-olds who used a condom at last sexual intercourse by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,"Data are not presented for girls in Albania, Croatia, Cyprus, Denmark, Estonia, France, North Macedonia, Republic of Moldova, Serbia and Switzerland,  or for boys in Spain as numbers reporting were too low for a reliable estimate of prevalence. The following countries and regions provided data for girls and boys but in insufficient quantities to enable prevalence to be established: Armenia, Belgium (French), Bulgaria, Greenland, Finland, Ireland, Kazakhstan, Kyrgyzstan, Lithuania, Malta, Netherlands , Slovakia, England and Scotland.  No data were received from Norway and Tajikistan."
d_pill,CONTRACEPTIVE PILL USE AT LAST SEXUAL INTERCOURSE,"2014
2018
2022",15-year-olds,PERCENT,15-year-olds who have had sex were asked whether they or their partner had used the contraceptive pill at their last sexual intercourse. Findings presented here show the proportions who responded yes to this question. ,who had used the contraceptive pill at last sexual intercourse,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,"Significance of gender differences is not presented. Data are not presented for girls in Armenia or Croatia as numbers reporting  were too low for a reliable estimate of prevalence. No data were received from Greenland, Norway, Poland or Russian Federation.  ","Significance of gender differences is not presented. Data are not presented for girls in Albania, Armenia, Georgia or Kazakhstan or for boys in Greenland as numbers reporting  were too low for a reliable estimate of prevalence.No data were received from Azerbaijan, Norway and Switzerland. ",Data are not presented for girls in Armenia or Kazakhstan as numbers reporting  were too low for a reliable estimate of prevalence. No data were received from Norway and Tajikistan. ,Prevalence by family affluence: 15-year-olds who had used the contraceptive pill at last sexual intercourse by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,"Data are not presented for girls in Albania, Croatia, Cyprus, Denmark, Estonia, France, North Macedonia, Republic of Moldova, Serbia and Switzerland, or for boys in Spain and Belgium (French), as numbers reporting were too low for a reliable estimate of prevalence.  The following countries and regions provided data for girls and boys but in insufficient quantities to enable prevalence to be established: Armenia, Bulgaria, England, Finland,  Greenland, Ireland, Kazakhstan, Kyrgyzstan,  Lithuania, Malta, Netherlands, Scotland and Slovakia. No data were received from Norway and Tajikistan."
d_nocontracept,USING NEITHER CONDOM  NOR CONTRACEPTIVE PILL  AT LAST SEXUAL INTERCOURSE,"2014
2018
2022",15-year-olds,PERCENT,15-year-olds who have had sex were asked whether they or their partner had used a condom or the contraceptive pill at their last sexual intercourse. Findings presented here show the proportions who reported that they or their partners had used neither a condom nor the contraceptive pill at their last sexual intercourse.,who had used neither a condom nor the contraceptive pill at last sexual intercourse,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,"Significance of gender differences is not presented. Data are not presented for girls in Albania, Armenia, Georgia or Kazakhstan or for boys in Greenland as numbers reporting  were too low for a reliable estimate of prevalence. No data were received from Azerbaijan, Norway and Switzerland. ", Data are not presented for girls in  Armenia or Kazakhstan as numbers reporting  were too low for a reliable estimate of prevalence. No data were received from Norway and Tajikistan.,Prevalence by family affluence: 15-year-olds who had used neither a condom nor the contraceptive pill at last sexual intercourse by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,"Data are not presented for girls in Albania, Croatia, Cyprus, Denmark, Estonia, France, North Macedonia, Republic of Moldova, Serbia and Switzerland, or for boys in Spain, as numbers reporting were too low for a reliable estimate of prevalence. The following countries and regions provided data for girls and boys but in insufficient quantities to enable prevalence to be established: Armenia, Belgium (French), Bulgaria, England, Finland, Greenland, Ireland, Kazakhstan, Kyrgyzstan, Lithuania, Malta, Netherlands, Scotland and Slovakia, No data were received from Norway and Tajikistan."
EMC_intensive,FREQUENCY OF ONLINE CONTACT WITH FRIENDS AND OTHERS,"2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how often they had online contact through social media with four categories of people: close friends, friends from a larger friend group, friends they had met through the Internet and other people (such as teachers, siblings, classmates and parents). The five response options ranged from never or almost never to almost all the time throughout the day. Findings presented here show the proportions reporting contact almost all of the time throughout the day (continuous online contact) with at least one of the four friendship categories. ", who report  continuous online contact with friends and others,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,"No data were received from Greenland, Slovakia and Switzerland"," No data were received from Belgium (French), Slovakia and Switzerland. ",Prevalence by family affluence: continuous online communication by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,"No data were received from Greenland, Slovakia and Switzerland","No data were received from Belgium (French), Slovakia and Switzerland. "
SMPdum,PROBLEMATIC SOCIAL MEDIA USE,"2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked to report about symptoms of problematic (addictive-like) social media use using the Social Media Disorder Scale, a nine-item measure to which respondents answered with yes or no. Findings presented here show the proportions who answered yes to six or more symptoms and were therefore categorized as problematic social media users.", who report problematic social media use,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,"No data were received from Bulgaria, Greenland and Slovakia  ","no data were received from Denmark (11-year-olds), Greenland and Slovakia.",Prevalence by family affluence: problematic social media use by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,"No data were received from Bulgaria, Greenland and Slovakia  ","No data were received from Denmark (11-year-olds), Greenland and Slovakia."
,,,,,,,,,,,,,,,
studsup_cutoff,CLASSMATE SUPPORT,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how much they agreed or disagreed with three statements about their classmates, and their responses were combined into a mean score from 1 to 5. Findings presented here are the proportions of pupils who reported classmate support of 4 or higher. ","
 who report feeling high classmate support",Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented.  ,No data are presented  for Latvia or Poland.,,Prevalence by family affluence: high classmate support by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Significance of prevalence differences by affluence group is not presented.  No data are presented for Armenia and Lithuania.  ,No data are presented  for Latvia or Poland.,
teachersup_cutoff,TEACHER SUPPORT,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how much they agreed or disagreed with three statements about their teachers, and their responses were combined into a mean score from 1 to 5. Findings presented here are the proportions of pupils who reported teacher support of 4 or higher. ", who report feeling high teacher support,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented.  ,No data are presented  for Latvia or Poland.,,Prevalence by family affluence: high teacher support by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Significance of prevalence differences by affluence group is not presented.  No data are presented for Armenia and Lithuania.  ,No data are presented  for Latvia or Poland.,
sch_pressure,SCHOOLWORK PRESSURE,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how pressured they feel by the schoolwork they have to do. Response options ranged from not at all to a lot. Findings presented here show the proportions who reported feeling pressured by schoolwork some or a lot. , who feel pressured by schoolwork,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,,,Prevalence by family affluence: pressured by schoolwork by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region., No data are presented for Armenia and Lithuania.  ,,
sch_satis,SCHOOL SATISFACTION (LIKING SCHOOL),"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how they feel about school at present. Response options ranged from I like it a lot to I don’t like it at all. Findings presented here show the proportions who reported liking school a lot. , who like school a lot,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,,,Prevalence by family affluence: like school a lot by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region., No data are presented for Armenia and Lithuania.  ,,
peersup_hi,PEER SUPPORT,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked if they perceive that their friends really try to help them, that they can count on them when things go wrong, if they had friends with whom they can share their sorrows and joys, and if they can talk to them about their problems. Response options ranged from very strongly disagree to very strongly agree, and responses were combined into a mean score ranging from 1 to 7.  Findings presented here show the proportions reporting an average score of 5.5 or more (high social support) on the peer section of the Multidimensional Scale of Perceived Social Support. ", who report feeling high peer support,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,"No data presented for Armenia, Canada, Denmark and Lithuania.",,No data presented from North Macedonia,Prevalence by family affluence: high peer support by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,"No data presented for Armenia, Canada, Denmark and Lithuania.",,No data presented for North Macedonia
meal,FAMILY MEALS,"
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how often they eat a meal with their family. Findings presented here show the proportions reporting eating with their family every day., who eat a meal with family daily,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,No 2014 data,No data presented for Ireland and Switzerland,No data presented from Switzerland,Prevalence by family affluence: daily family meals by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,No 2014 data,No data presented for Ireland and Switzerland,No data presented from Switzerland
talk_pa_easy,FAMILY COMMUNICATION: EASY COMMUNICATION WITH FATHER,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how easy it is for them to talk to their father about things that really bother them. Response options ranged from very easy to very difficult. Findings presented here show the proportions who reported finding it easy or very easy to talk to their father., who find it easy or very easy to talk to their father,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,No data presented for Malta,No data presented from Slovakia ,Prevalence by family affluence: easy communication with father by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region., No data are presented for Armenia and Lithuania.  ,No data presented for Malta,No data presented from Slovakia 
talk_ma_easy,FAMILY COMMUNICATION: EASY COMMUNICATION WITH MOTHER,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how easy it is for them to talk to their mother about things that really bother them. Response options ranged from very easy to very difficult. Findings presented here show the proportions who reported finding it easy or very easy to talk to their mother.,who find it easy or very easy to talk to their mother,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,,No data presented from Slovakia ,Prevalence by family affluence: easy communication with mother by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region., No data are presented for Armenia and Lithuania.  ,,No data presented from Slovakia 
famsup_hi,FAMILY SUPPORT,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked if they perceive that their family really tries to help them, that they can get emotional support from them when they need it, they can talk to their family about problems, and if the family is prepared to help them make decisions. Response options ranged from very strongly disagree to very strongly agree, and responses were combined into a mean score ranging from 1 to 7. Findings presented here show the proportions who scored 5.5 or more on the family section of the Multidimensional Scale of Perceived Social Support, categorized as high perceived family support.", who report feeling high family support,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,"No data presented for Canada, Denmark and Lithuania",No data presented for Denmark.,,Prevalence by family affluence: high family support by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,"No data presented for Armenia, Canada, Denmark and Lithuania",No data presented for Denmark.,
d_parents,FAMILY STRUCTURE,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked about their family living arrangements and who they lived with most of the time. Findings presented here show the proportions who reported living primarily with both parents, within a stepfamily, within a single-parent family or some other arrangement (for instance, a foster home or cared for by non-parental family member).",,,,,No data presented from Slovakia and Switzerland. France did not include questions about step-parents.,,,,,
