HBSC_id,Short_name,Survey_years_available,Age_groups_available,Measure_type,Measure_description,Chart_title_gender,Significance_text_gender,Notes_2014_gender,Notes_2018_gender,Notes_2022_gender,Chart_title_FAS,Significance_text_FAS,Notes_2014_FAS,Notes_18_FAS,Notes_22_FAS
d_dizzy,Individual health complaints: feeling dizzy,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,Young people were asked how often they had felt dizzy in the last six months. Response options ranged from about every day to rarely or never. Findings presented here show the proportions who reported feeling dizzy more than once a week.,who report feeling dizzy more than once a week,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Statistical significance is not shown.,Statistical significance is not shown.,,Prevalence by family affluence: feeling dizzy by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,
,,,,,,,,,,,,,,,
who5_high,Mental wellbeing (WHO-5 score),2022,"11-year-olds
13-year-olds
15-year-olds",MEAN_100,Young people were asked how often over the last two weeks they had: felt cheerful and in good spirits; calm and relaxed; active and vigorous; woken up feeling fresh and rested; and felt their daily life was filled with things that interested them. Response options ranged from all the time to at no time and were combined to make a score (from zero to 100). Higher scores indicate higher mental well-being. Mean mental well-being score is presented here.,: mean mental well-being score (WHO-5),Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,,"No data were available for Bulgaria, Serbia or Tajikistan (all ages) and Denmark (11-year-olds).",Mean mental well-being (WHO-5 score) by family affluence: shown by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,"No data were available for Bulgaria, Serbia or Tajikistan (all ages) and Denmark (11-year-olds)."
,,,,,,,,,,,,,,,
d_lonely,Feeling lonely,2022,"11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked how often they had felt lonely during the last year.  Response options were never, rarely, sometimes, most of the time and always. Findings presented here show the proportions  who reported feeling lonely most of the time or always.",who report feeling lonely most of the time or always,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,,No data were received from North Macedonia (11- and 13-year olds).,Prevalence by family affluence: feeling lonely most of the time or always by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,No data were received from North Macedonia (11- and 13-year olds).
,,,,,,,,,,,,,,,
lifesat_mean,Life satisfaction,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",MEAN_10,Young people were asked to rate their life satisfaction using a visual analogue scale. The Cantril ladder has 11 steps: the top indicates the best possible life and the bottom the worst. Respondents were asked to indicate the ladder step at which they would place their lives at present (from zero to 10). Mean life satisfaction is presented here.,: mean life satisfaction,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Statistical significance is not shown.,Statistical significance is not shown.,,Mean life satisfaction by family affluence: shown by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,Statistical significance is not shown.,Statistical significance is not shown.,
,,,,,,,,,,,,,,,
d_selfeff_sol,Self-efficacy: problem-solving,2022,"11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked about how often they can find a solution to a problem if they try hard enough. Response options were never, rarely, sometimes, most of the time and always. Findings presented here show the proportions who reported they can find solutions most of the time or always.",who report they can find solutions most of the time or always,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,,,No data were received from France.,Prevalence by family affluence: can find solutions most of the time or always by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,No data were received from France.
,,,,,,,,,,,,,,,
